Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Languages,Final URL suffix,Campaign Status,Ad Group,Ad Group Status,Keyword,Criterion Type,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
GOOG_Search_Brand,Search,Google search,6,Daily,Maximize conversions,he;en,utm_source=google&utm_medium=cpc&utm_campaign=brand,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,Brand,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,Brand,,site control,Exact,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,Brand,,סייט קונטרול,Exact,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,Brand,,site-control,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,Brand,,site control il,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,Brand,,,,Responsive search ad,https://www.site-control-il.com/,חנות,מצלמות-אבטחה,Site-Control,Site-Control האתר הרשמי,חנות מצלמות אבטחה והתקנה,"Hikvision, Uniview, Reolink",אינטרקום ובקרת כניסה,ציוד מהמלאי של היבואן,אחריות שנה על כל המוצרים,"מחירים כולל מע""מ באתר",התקנה על ידי הצוות שלנו,ייעוץ בוואטסאפ לפני קנייה,משלוח או איסוף עצמי,ערכות מצלמות עם מקליט,מצלמות סולאריות 4G,עזרו לי לבחור ב-5 שאלות,מתקינים ומוכרים מצלמות,"חנות מצלמות אבטחה עם צוות שגם מתקין. Hikvision, Uniview, Reolink ו-VisionNet.","מצלמות IP, ערכות, מקליטים, אינטרקום ובקרת כניסה. מחיר באתר ואחריות שנה.","משלוח עד הבית, איסוף עצמי או התקנה מלאה על ידי הצוות שלנו לפי הצעת מחיר.","לא בטוחים מה מתאים? עונים על 5 שאלות ומקבלים המלצה, או כותבים לנו בוואטסאפ."
GOOG_Search_Brand,,,,,,,,,,,טיימלאפס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,טיים לאפס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,time lapse,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,timelapse,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,תיעוד בנייה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,תיעוד התקדמות,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,דרושים,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,משרה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,עבודה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,קורס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,הכשרה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,חינם,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,יד שנייה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,יד2,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,עלי אקספרס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,aliexpress,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,אמזון,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,amazon,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,מצלמה לרכב,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,מצלמת דרך,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,מצלמת רכב,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,מצלמת גוף,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,מצלמת תינוק,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,מצלמת רשת למחשב,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,webcam,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,גופרו,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,gopro,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,רחפן,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,מצלמת צילום,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,מצלמה דיגיטלית,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,דמה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,להורדה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,pdf,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,סיסמה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,איפוס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,שחזור סיסמה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,ivms,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,ויקיפדיה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Brand,,,,,,,,,,,מה זה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,Search,Google search,36,Daily,Maximize conversions,he;en,utm_source=google&utm_medium=cpc&utm_campaign=install,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנת מצלמות אבטחה,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנת מצלמות אבטחה,,התקנת מצלמות אבטחה,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנת מצלמות אבטחה,,מתקין מצלמות אבטחה,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנת מצלמות אבטחה,,התקנת מערכת מצלמות,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנת מצלמות אבטחה,,טכנאי מצלמות אבטחה,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנת מצלמות אבטחה,,התקנת מצלמות אבטחה,Exact,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנת מצלמות אבטחה,,,,Responsive search ad,https://www.site-control-il.com/installation,התקנה,מצלמות-אבטחה,התקנת מצלמות אבטחה,מתקינים בכל הארץ,מצלמות אבטחה לבית ולעסק,"Hikvision, Uniview, Reolink",ציוד מהמלאי של היבואן,אחריות שנה על כל המוצרים,הצעת מחיר בוואטסאפ,"תכנון, חיווט והגדרת אפליקציה",צפייה מהנייד מכל מקום,מערכת עם מקליט 24/7,ממליצים רק מה שצריך,שדרוג מערכת ישנה,"מצלמות, מקליט ואינטרקום",Site-Control,"שלחו תמונה, נחזור עם מחיר","מתקינים מצלמות אבטחה בבתים, בעסקים ובבניינים. תכנון, חיווט, הגדרה והדרכה.","ציוד Hikvision, Uniview ו-Reolink מהמלאי של היבואן בישראל, עם אחריות שנה.","שולחים בוואטסאפ כמה נקודות ואיפה, ומקבלים הצעת מחיר להתקנה מלאה.","צפייה חיה והתראות לנייד, הקלטה רציפה למקליט. גם שדרוג למערכת קיימת."
GOOG_Search_Install_Leads,,,,,,,,,התקנה לבית ולעסק,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנה לבית ולעסק,,התקנת מצלמות אבטחה לבית,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנה לבית ולעסק,,התקנת מצלמות אבטחה לעסק,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנה לבית ולעסק,,מצלמות אבטחה לבית כולל התקנה,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנה לבית ולעסק,,מצלמות אבטחה לעסק כולל התקנה,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,התקנה לבית ולעסק,,,,Responsive search ad,https://www.site-control-il.com/installation,התקנה,לבית-ולעסק,התקנת מצלמות אבטחה,מתקינים בכל הארץ,מצלמות אבטחה לבית ולעסק,"Hikvision, Uniview, Reolink",ציוד מהמלאי של היבואן,אחריות שנה על כל המוצרים,הצעת מחיר בוואטסאפ,"תכנון, חיווט והגדרת אפליקציה",צפייה מהנייד מכל מקום,מערכת עם מקליט 24/7,ממליצים רק מה שצריך,שדרוג מערכת ישנה,"מצלמות, מקליט ואינטרקום",Site-Control,"שלחו תמונה, נחזור עם מחיר","מתקינים מצלמות אבטחה בבתים, בעסקים ובבניינים. תכנון, חיווט, הגדרה והדרכה.","ציוד Hikvision, Uniview ו-Reolink מהמלאי של היבואן בישראל, עם אחריות שנה.","שולחים בוואטסאפ כמה נקודות ואיפה, ומקבלים הצעת מחיר להתקנה מלאה.","צפייה חיה והתראות לנייד, הקלטה רציפה למקליט. גם שדרוג למערכת קיימת."
GOOG_Search_Install_Leads,,,,,,,,,שדרוג מערכת קיימת,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,שדרוג מערכת קיימת,,שדרוג מערכת מצלמות,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,שדרוג מערכת קיימת,,החלפת מצלמות אבטחה,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,שדרוג מערכת קיימת,,החלפת מקליט מצלמות,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,שדרוג מערכת קיימת,,תיקון מערכת מצלמות אבטחה,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,שדרוג מערכת קיימת,,,,Responsive search ad,https://www.site-control-il.com/installation,שדרוג,מערכת-קיימת,התקנת מצלמות אבטחה,מתקינים בכל הארץ,מצלמות אבטחה לבית ולעסק,"Hikvision, Uniview, Reolink",ציוד מהמלאי של היבואן,אחריות שנה על כל המוצרים,הצעת מחיר בוואטסאפ,"תכנון, חיווט והגדרת אפליקציה",צפייה מהנייד מכל מקום,מערכת עם מקליט 24/7,ממליצים רק מה שצריך,שדרוג מערכת ישנה,"מצלמות, מקליט ואינטרקום",Site-Control,"שלחו תמונה, נחזור עם מחיר","מתקינים מצלמות אבטחה בבתים, בעסקים ובבניינים. תכנון, חיווט, הגדרה והדרכה.","ציוד Hikvision, Uniview ו-Reolink מהמלאי של היבואן בישראל, עם אחריות שנה.","שולחים בוואטסאפ כמה נקודות ואיפה, ומקבלים הצעת מחיר להתקנה מלאה.","צפייה חיה והתראות לנייד, הקלטה רציפה למקליט. גם שדרוג למערכת קיימת."
GOOG_Search_Install_Leads,,,,,,,,,,,טיימלאפס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,טיים לאפס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,time lapse,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,timelapse,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,תיעוד בנייה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,תיעוד התקדמות,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,דרושים,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,משרה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,עבודה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,קורס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,הכשרה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,חינם,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,יד שנייה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,יד2,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,עלי אקספרס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,aliexpress,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,אמזון,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,amazon,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,מצלמה לרכב,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,מצלמת דרך,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,מצלמת רכב,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,מצלמת גוף,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,מצלמת תינוק,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,מצלמת רשת למחשב,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,webcam,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,גופרו,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,gopro,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,רחפן,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,מצלמת צילום,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,מצלמה דיגיטלית,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,דמה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,להורדה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,pdf,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,סיסמה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,איפוס,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,שחזור סיסמה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,ivms,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,ויקיפדיה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,מה זה,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,איך להתקין,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,התקנה עצמית,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,עשה זאת בעצמך,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,site control,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Install_Leads,,,,,,,,,,,סייט קונטרול,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Intercom,Search,Google search,24,Daily,Maximize conversions,he;en,utm_source=google&utm_medium=cpc&utm_campaign=intercom,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Intercom,,,,,,,,,אינטרקום לבניין,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Intercom,,,,,,,,,אינטרקום לבניין,,אינטרקום לבניין,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Intercom,,,,,,,,,אינטרקום לבניין,,החלפת אינטרקום בבניין,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Intercom,,,,,,,,,אינטרקום לבניין,,אינטרקום לבניין משותף,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Intercom,,,,,,,,,אינטרקום לבניין,,פנל אינטרקום לבניין,Phrase,,,,,,,,,,,,,,,,,,,,,,,
GOOG_Search_Intercom,,,,,,,,,אינטרקום לבניין,,אינטרקום 2 גידים,Phrase,,,,,,,,,,,,,,,,,,,,,,,
